idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,12.81,12.81,0,5,0,0,20,0,0,0
2,8.04,8.04,0,1,0,0,20,0,0,0
3,16.08,16.08,0,1,0,1,20,0,0,0
4,11.57,11.57,1,5,0,2,20,0,0,0
5,21.91,21.91,0,2,0,0,20,0,0,0
6,19.42,19.42,0,2,0,1,20,0,0,0
7,10.8,10.8,0,1,0,2,20,0,0,0
8,12.84,12.84,1,5,0,3,20,0,0,0
9,6.4,6.4,0,1,0,3,20,0,0,0
10,10.63,10.63,0,5,0,1,20,0,0,0
11,15.42,15.42,0,6,0,0,20,1,0,0
12,15.18,15.18,0,5,0,4,20,2,0,0
13,18.69,18.69,0,6,0,1,20,3,0,0
14,20.99,20.99,0,6,0,2,20,4,0,0
15,6.94,6.94,0,3,0,0,20,5,0,0
16,15.33,15.33,0,3,0,1,20,6,0,0
17,7.83,7.83,0,1,0,4,20,7,0,0
18,8.71,8.71,0,4,0,0,20,8,0,0
19,22.13,22.13,0,6,0,3,20,9,0,0
20,21.72,21.72,0,2,0,2,20,10,0,0
21,15.6,15.6,0,3,0,2,20,11,0,0
22,5.65,5.65,0,4,0,1,20,12,0,0
23,7.53,7.53,0,4,0,2,20,13,0,0
24,18.0,18.0,0,3,0,3,20,14,0,0
25,5.5,5.5,0,4,0,3,20,15,0,0
