idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,23.23,23.23,1,3,0,1,20,0,0,0
2,15.09,15.09,1,2,0,3,20,0,0,0
3,7.61,7.61,0,2,0,0,20,0,0,0
4,10.73,10.73,0,1,0,0,20,0,0,0
5,11.4,11.4,1,3,0,0,20,0,0,0
6,15.96,15.96,0,1,0,1,20,0,0,0
7,20.99,20.99,2,1,0,2,20,0,0,0
8,8.17,8.17,1,2,0,1,20,0,0,0
9,10.6,10.6,1,2,0,2,20,0,0,0
10,23.5,23.5,1,3,0,2,20,0,0,0
11,7.96,7.96,0,6,0,0,20,1,0,0
12,21.09,21.09,0,1,0,3,20,2,0,0
13,21.88,21.88,0,1,0,4,20,3,0,0
14,5.25,5.25,0,4,0,0,20,4,0,0
15,6.22,6.22,0,4,0,1,20,5,0,0
16,20.11,20.11,0,2,0,4,20,6,0,0
17,11.1,11.1,0,6,0,1,20,7,0,0
18,18.73,18.73,0,6,0,2,20,8,0,0
19,11.26,11.26,0,4,0,2,20,9,0,0
20,13.76,13.76,0,4,0,3,20,10,0,0
21,8.2,8.2,0,5,0,0,20,11,0,0
22,10.41,10.41,0,5,0,1,20,12,0,0
23,11.66,11.66,0,4,0,4,20,13,0,0
24,7.01,7.01,0,5,0,2,20,14,0,0
25,6.01,6.01,0,5,0,3,20,15,0,0
