idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,14.91,14.91,1,4,0,4,20,0,0,0
2,7.27,7.27,0,2,0,0,20,0,0,0
3,19.78,19.78,0,1,0,0,20,0,0,0
4,23.29,23.29,0,1,0,1,20,0,0,0
5,10.27,10.27,0,2,0,1,20,0,0,0
6,21.84,21.84,0,1,0,2,20,0,0,0
7,19.2,19.2,0,4,0,0,20,0,0,0
8,14.74,14.74,1,4,0,3,20,0,0,0
9,14.58,14.58,1,4,0,2,20,0,0,0
10,12.41,12.41,0,4,0,1,20,0,0,0
11,14.54,14.54,0,2,0,2,20,1,0,0
12,14.03,14.03,0,6,0,0,20,2,0,0
13,10.0,10.0,0,5,0,0,20,3,0,0
14,8.14,8.14,0,3,0,0,20,4,0,0
15,6.69,6.69,0,3,0,1,20,5,0,0
16,9.14,9.14,0,5,0,1,20,6,0,0
17,10.49,10.49,0,5,0,2,20,7,0,0
18,13.16,13.16,0,5,0,3,20,8,0,0
19,16.53,16.53,0,5,0,4,20,9,0,0
20,17.36,17.36,0,2,0,3,20,10,0,0
21,16.03,16.03,0,6,0,1,20,11,0,0
22,12.56,12.56,0,3,0,2,20,12,0,0
23,8.1,8.1,0,3,0,3,20,13,0,0
24,21.96,21.96,0,1,0,3,20,14,0,0
25,19.91,19.91,0,2,0,4,20,15,0,0
