idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,15.77,15.77,0,5,0,0,20,0,0,0
2,23.06,23.06,0,5,0,1,20,0,0,0
3,20.08,20.08,0,3,0,0,20,0,0,0
4,22.54,22.54,1,3,0,4,20,0,0,0
5,10.15,10.15,0,1,0,0,20,0,0,0
6,23.79,23.79,0,5,0,2,20,0,0,0
7,5.33,5.33,0,3,0,1,20,0,0,0
8,5.61,5.61,0,1,0,1,20,0,0,0
9,17.64,17.64,1,3,0,3,20,0,0,0
10,16.65,16.65,0,3,0,2,20,0,0,0
11,6.08,6.08,0,2,0,0,20,1,0,0
12,17.35,17.35,0,2,0,1,20,2,0,0
13,16.74,16.74,0,1,0,2,20,3,0,0
14,16.21,16.21,0,4,0,0,20,4,0,0
15,6.15,6.15,0,2,0,2,20,5,0,0
16,22.55,22.55,0,1,0,3,20,6,0,0
17,9.26,9.26,0,2,0,3,20,7,0,0
18,9.05,9.05,0,4,0,1,20,8,0,0
19,14.63,14.63,0,4,0,2,20,9,0,0
20,16.22,16.22,0,4,0,3,20,10,0,0
21,14.12,14.12,0,6,0,0,20,11,0,0
22,6.52,6.52,0,2,0,4,20,12,0,0
23,15.48,15.48,0,6,0,1,20,13,0,0
24,5.39,5.39,0,6,0,2,20,14,0,0
25,9.3,9.3,0,6,0,3,20,15,0,0
