idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,1,0,0,10.81,0,0,0,20
2,1,0,1,21.44,0,0,0,20
3,4,0,4,20.05,0,0,1,20
4,1,0,2,9.75,0,0,0,20
5,1,0,3,21.88,0,0,0,20
6,5,0,0,9.86,0,0,0,20
7,3,0,0,20.68,0,0,0,20
8,4,0,1,8.76,0,0,1,20
9,4,0,0,7.6,0,0,0,20
10,3,0,1,9.55,0,0,0,20
11,4,0,2,8.95,0,0,1,20
12,5,0,1,23.24,0,0,0,20
13,3,0,2,6.77,0,0,0,20
14,5,0,2,23.87,0,0,0,20
15,4,0,3,11.98,0,0,1,20
16,6,0,0,19.15,1,0,0,20
17,3,0,3,15.68,2,0,0,20
18,2,0,0,12.92,3,0,0,20
19,2,0,1,13.4,4,0,0,20
20,6,0,1,17.4,5,0,0,20
21,6,0,2,17.92,6,0,0,20
22,6,0,3,18.7,7,0,0,20
23,2,0,2,9.02,8,0,0,20
24,2,0,3,5.21,9,0,0,20
25,6,0,4,23.88,10,0,0,20
