idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,6,0,0,14.89,0,0,20,0,14.89
2,6,0,1,17.18,0,1,20,0,17.18
3,4,0,0,11.73,0,0,20,0,11.73
4,6,0,3,20.73,0,1,20,0,20.73
5,6,0,2,18.17,0,1,20,0,18.17
6,4,0,1,16.15,1,0,20,0,16.15
7,1,0,0,10.89,2,0,20,0,10.89
8,2,0,0,5.62,3,0,20,0,5.62
9,1,0,1,13.76,4,0,20,0,13.76
10,2,0,1,10.55,5,0,20,0,10.55
11,2,0,2,10.64,6,0,20,0,10.64
12,2,0,3,11.98,7,0,20,0,11.98
13,1,0,2,14.96,8,0,20,0,14.96
14,1,0,3,16.2,9,0,20,0,16.2
15,1,0,4,16.24,10,0,20,0,16.24
16,3,0,0,5.58,11,0,20,0,5.58
17,4,0,2,17.19,12,0,20,0,17.19
18,2,0,4,15.39,13,0,20,0,15.39
19,3,0,1,14.66,14,0,20,0,14.66
20,4,0,3,17.2,15,0,20,0,17.2
