idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,6,0,1,14.66,0,1,20,0,14.66
2,2,0,0,13.97,0,0,20,0,13.97
3,6,0,0,11.11,0,0,20,0,11.11
4,6,0,3,16.33,0,1,20,0,16.33
5,6,0,2,15.76,0,1,20,0,15.76
6,1,0,0,6.65,1,0,20,0,6.65
7,2,0,1,18.91,2,0,20,0,18.91
8,1,0,1,16.72,3,0,20,0,16.72
9,3,0,0,9.79,4,0,20,0,9.79
10,3,0,1,14.44,5,0,20,0,14.44
11,4,0,0,11.62,6,0,20,0,11.62
12,5,0,0,6.41,7,0,20,0,6.41
13,5,0,1,8.69,8,0,20,0,8.69
14,2,0,2,23.41,9,0,20,0,23.41
15,1,0,2,20.85,10,0,20,0,20.85
16,1,0,3,22.5,11,0,20,0,22.5
17,5,0,2,6.87,12,0,20,0,6.87
18,4,0,1,11.86,13,0,20,0,11.86
19,5,0,3,8.16,14,0,20,0,8.16
20,6,0,4,17.25,15,0,20,0,17.25
