idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,3,0,0,6.34,0,0,20,2,206.34
2,3,0,1,18.6,0,0,20,0,18.6
3,4,0,0,8.44,0,0,20,2,208.44
4,2,0,3,23.88,0,1,20,1,123.88
5,2,0,0,10.7,0,0,20,2,210.7
6,3,0,2,9.8,0,0,20,0,9.8
7,4,0,1,22.67,0,0,20,3,322.67
8,3,0,3,12.81,0,0,20,0,12.81
9,2,0,1,16.91,0,0,20,1,116.91
10,2,0,2,20.7,0,1,20,1,120.7
11,2,0,4,7.81,1,0,20,2,207.81
12,3,0,4,21.21,2,0,20,1,121.21000000000001
13,1,0,0,17.92,3,0,20,0,17.92
14,1,0,1,20.07,4,0,20,0,20.07
15,5,0,0,10.66,5,0,20,0,10.66
