idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,2,0,1,14.23,0,1,20,0,14.23
2,2,0,0,9.11,0,0,20,0,9.11
3,2,0,3,21.59,0,1,20,0,21.59
4,1,0,0,10.45,0,0,20,0,10.45
5,1,0,1,22.73,0,0,20,0,22.73
6,1,0,2,22.98,0,0,20,0,22.98
7,2,0,2,17.78,0,1,20,0,17.78
8,3,0,0,7.92,1,0,20,0,7.92
9,4,0,0,7.41,2,0,20,0,7.41
10,3,0,1,13.88,3,0,20,0,13.88
11,1,0,3,23.7,4,0,20,0,23.7
12,3,0,2,19.15,5,0,20,0,19.15
13,4,0,1,14.65,6,0,20,0,14.65
14,5,0,0,12.96,7,0,20,0,12.96
15,3,0,3,20.17,8,0,20,0,20.17
16,4,0,2,16.12,9,0,20,0,16.12
17,6,0,0,9.92,10,0,20,0,9.92
18,4,0,3,16.31,11,0,20,0,16.31
19,6,0,1,12.21,12,0,20,0,12.21
20,5,0,1,13.7,13,0,20,0,13.7
21,4,0,4,18.27,14,0,20,0,18.27
22,6,0,2,8.02,15,0,20,0,8.02
23,6,0,3,10.26,16,0,20,0,10.26
