idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,0,12.15,2,212.15,1,0,20
2,1,0,1,15.54,2,215.54,2,0,20
3,2,0,0,7.37,0,7.37,3,0,20
4,2,0,1,9.98,1,109.98,4,0,20
5,1,0,2,16.01,2,216.01,5,0,20
6,1,0,3,23.6,3,323.6,6,0,20
7,2,0,2,20.39,3,320.39,7,0,20
8,2,0,3,22.82,3,322.82,8,0,20
9,3,0,0,16.89,3,316.89,9,0,20
10,4,0,0,10.5,0,10.5,10,0,20
11,4,0,1,5.68,1,105.68,11,0,20
12,5,0,0,7.11,0,7.11,12,0,20
13,4,0,2,10.51,1,110.51,13,0,20
14,5,0,1,6.43,3,306.43,14,0,20
15,4,0,3,22.77,2,222.77,15,0,20
16,5,0,2,7.78,3,307.78,16,0,20
17,5,0,3,7.78,3,307.78,17,0,20
18,6,0,0,20.17,2,220.17000000000002,18,0,20
19,6,0,1,10.62,2,210.62,19,0,20
20,6,0,2,22.51,2,222.51,20,0,20
21,5,0,4,9.54,3,309.54,21,0,20
22,6,0,3,8.58,1,108.58,22,0,20
23,4,0,4,11.0,3,311.0,23,0,20
24,6,0,4,11.89,3,311.89,24,0,20
25,3,0,1,14.18,2,214.18,25,0,20
