idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,1,0,0,13.41,1,0,20,1,113.41
2,1,0,1,11.27,2,0,20,3,311.27
3,2,0,0,19.61,3,0,20,2,219.61
4,3,0,0,18.4,4,0,20,2,218.4
5,4,0,0,21.43,5,0,20,1,121.43
6,5,0,0,6.46,6,0,20,0,6.46
7,5,0,1,19.53,7,0,20,1,119.53
8,1,0,2,13.91,8,0,20,3,313.91
9,2,0,1,21.21,9,0,20,3,321.21
10,6,0,0,11.55,10,0,20,0,11.55
11,6,0,1,9.34,11,0,20,1,109.34
12,6,0,2,8.35,12,0,20,0,8.35
13,6,0,3,6.61,13,0,20,0,6.61
14,5,0,2,18.25,14,0,20,1,118.25
15,6,0,4,7.14,15,0,20,1,107.14
16,5,0,3,9.52,16,0,20,1,109.52
17,4,0,1,12.38,17,0,20,2,212.38
18,5,0,4,14.76,18,0,20,1,114.76
19,3,0,1,19.84,19,0,20,2,219.84
20,3,0,2,23.31,20,0,20,2,223.31
21,1,0,3,15.07,21,0,20,3,315.07
22,4,0,2,17.78,22,0,20,1,117.78
23,4,0,3,7.68,23,0,20,0,7.68
24,4,0,4,11.6,24,0,20,2,211.6
25,3,0,3,11.07,25,0,20,2,211.07
