idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,1,0,0,13.95,0,0,0,20
2,1,0,3,20.52,0,0,1,20
3,2,0,0,9.54,0,0,0,20
4,1,0,2,19.22,0,0,1,20
5,1,0,1,14.08,0,0,1,20
6,6,0,0,13.51,1,0,0,20
7,3,0,0,5.27,2,0,0,20
8,1,0,4,23.71,3,0,0,20
9,5,0,0,8.01,4,0,0,20
10,5,0,1,13.6,5,0,0,20
11,3,0,1,9.34,6,0,0,20
12,5,0,2,15.55,7,0,0,20
13,6,0,1,18.53,8,0,0,20
14,3,0,2,8.22,9,0,0,20
15,5,0,3,15.84,10,0,0,20
16,5,0,4,17.0,11,0,0,20
17,4,0,0,5.7,12,0,0,20
18,6,0,2,18.64,13,0,0,20
19,2,0,1,10.0,14,0,0,20
20,4,0,1,5.23,15,0,0,20
21,2,0,2,15.29,16,0,0,20
22,6,0,3,19.45,17,0,0,20
23,6,0,4,23.35,18,0,0,20
24,3,0,3,9.78,19,0,0,20
25,2,0,3,22.18,20,0,0,20
