idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,1,0,1,10.93,0,1,20,0,10.93
2,1,0,2,12.35,0,1,20,0,12.35
3,1,0,0,7.69,0,0,20,0,7.69
4,1,0,4,18.68,0,1,20,0,18.68
5,1,0,3,13.21,0,1,20,0,13.21
6,2,0,0,20.86,1,0,20,0,20.86
7,3,0,0,19.04,2,0,20,0,19.04
8,4,0,0,15.21,3,0,20,0,15.21
9,5,0,0,14.4,4,0,20,0,14.4
10,6,0,0,11.53,5,0,20,0,11.53
11,4,0,1,17.45,6,0,20,0,17.45
12,6,0,1,13.65,7,0,20,0,13.65
13,2,0,1,23.64,8,0,20,0,23.64
14,3,0,1,20.95,9,0,20,0,20.95
15,6,0,2,12.73,10,0,20,0,12.73
16,5,0,1,8.47,11,0,20,0,8.47
17,4,0,2,19.38,12,0,20,0,19.38
18,3,0,2,21.48,13,0,20,0,21.48
19,6,0,3,13.9,14,0,20,0,13.9
20,5,0,2,17.71,15,0,20,0,17.71
21,6,0,4,7.25,16,0,20,0,7.25
22,5,0,3,16.19,17,0,20,0,16.19
23,5,0,4,9.84,18,0,20,0,9.84
