idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,1,0,0,16.65,1,0,20,0,16.65
2,2,0,0,8.48,2,0,20,0,8.48
3,1,0,1,23.07,3,0,20,0,23.07
4,2,0,1,21.68,4,0,20,0,21.68
5,3,0,0,14.54,5,0,20,0,14.54
6,2,0,2,22.08,6,0,20,0,22.08
7,3,0,1,17.85,7,0,20,0,17.85
8,4,0,0,10.12,8,0,20,0,10.12
9,4,0,1,14.19,9,0,20,0,14.19
10,3,0,2,20.45,10,0,20,0,20.45
11,4,0,2,17.72,11,0,20,0,17.72
12,5,0,0,9.15,12,0,20,0,9.15
13,4,0,3,18.82,13,0,20,0,18.82
14,6,0,0,8.95,14,0,20,0,8.95
15,5,0,1,18.11,15,0,20,0,18.11
16,6,0,1,5.13,16,0,20,0,5.13
17,1,0,2,23.24,17,0,20,0,23.24
18,6,0,2,16.96,18,0,20,0,16.96
19,6,0,3,5.48,19,0,20,0,5.48
20,5,0,2,13.71,20,0,20,0,13.71
