idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,1,0,0,9.8,1,0,20,0,9.8
2,2,0,0,9.31,2,0,20,0,9.31
3,1,0,1,13.02,3,0,20,0,13.02
4,1,0,2,20.67,4,0,20,0,20.67
5,2,0,1,21.32,5,0,20,0,21.32
6,3,0,0,6.77,6,0,20,0,6.77
7,3,0,1,15.42,7,0,20,0,15.42
8,4,0,0,6.59,8,0,20,0,6.59
9,4,0,1,13.92,9,0,20,0,13.92
10,3,0,2,19.27,10,0,20,0,19.27
11,4,0,2,14.3,11,0,20,0,14.3
12,4,0,3,15.34,12,0,20,0,15.34
13,2,0,2,23.75,13,0,20,0,23.75
14,5,0,0,5.42,14,0,20,0,5.42
15,5,0,1,6.62,15,0,20,0,6.62
16,5,0,2,11.09,16,0,20,0,11.09
17,6,0,0,7.38,17,0,20,0,7.38
18,5,0,3,13.88,18,0,20,0,13.88
19,1,0,3,22.78,19,0,20,0,22.78
20,3,0,3,19.34,20,0,20,0,19.34
