idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,8.26,8.26,0,6,0,0,20,0,0,0
2,21.33,21.33,0,5,0,0,20,0,0,0
3,21.94,21.94,0,5,0,1,20,0,0,0
4,12.64,12.64,0,3,0,0,20,0,0,0
5,12.93,12.93,0,3,0,1,20,0,0,0
6,23.35,23.35,1,5,0,2,20,0,0,0
7,10.08,10.08,1,6,0,1,20,0,0,0
8,10.66,10.66,0,6,0,2,20,1,0,0
9,7.76,7.76,0,2,0,0,20,2,0,0
10,9.51,9.51,0,2,0,1,20,3,0,0
11,15.84,15.84,0,3,0,2,20,4,0,0
12,6.17,6.17,0,1,0,0,20,5,0,0
13,16.63,16.63,0,3,0,3,20,6,0,0
14,22.77,22.77,0,3,0,4,20,7,0,0
15,17.51,17.51,0,6,0,3,20,8,0,0
16,11.74,11.74,0,4,0,0,20,9,0,0
17,22.38,22.38,0,6,0,4,20,10,0,0
18,10.02,10.02,0,2,0,2,20,11,0,0
19,18.42,18.42,0,4,0,1,20,12,0,0
20,8.63,8.63,0,1,0,1,20,13,0,0
21,22.26,22.26,0,4,0,2,20,14,0,0
22,22.6,22.6,0,4,0,3,20,15,0,0
23,5.04,5.04,0,1,0,2,20,16,0,0
24,18.41,18.41,0,2,0,3,20,17,0,0
25,15.72,15.72,0,1,0,3,20,18,0,0
