idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,3,0,0,15.1,0,0,0,20
2,3,0,1,22.11,0,0,0,20
3,6,0,0,16.96,0,0,0,20
4,3,0,2,23.34,0,0,0,20
5,1,0,0,6.75,0,0,0,20
6,3,0,3,23.98,0,0,1,20
7,6,0,1,18.67,0,0,1,20
8,1,0,1,16.26,1,0,0,20
9,2,0,0,9.53,2,0,0,20
10,5,0,0,12.66,3,0,0,20
11,4,0,0,11.28,4,0,0,20
12,4,0,1,10.43,5,0,0,20
13,4,0,2,13.53,6,0,0,20
14,5,0,1,14.01,7,0,0,20
15,2,0,1,5.61,8,0,0,20
16,1,0,2,18.21,9,0,0,20
17,4,0,3,12.83,10,0,0,20
18,5,0,2,17.2,11,0,0,20
19,2,0,2,12.48,12,0,0,20
20,6,0,2,23.27,13,0,0,20
21,2,0,3,10.04,14,0,0,20
22,2,0,4,13.77,15,0,0,20
23,6,0,3,23.32,16,0,0,20
24,4,0,4,11.74,17,0,0,20
25,1,0,3,22.26,18,0,0,20
