idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,6.4,6.4,0,4,0,0,20,0,0,0
2,21.3,21.3,1,3,0,3,20,0,0,0
3,21.53,21.53,1,3,0,4,20,0,0,0
4,9.69,9.69,1,4,0,1,20,0,0,0
5,20.24,20.24,1,3,0,2,20,0,0,0
6,9.72,9.72,1,3,0,0,20,0,0,0
7,16.17,16.17,1,3,0,1,20,0,0,0
8,22.27,22.27,0,4,0,2,20,1,0,0
9,6.92,6.92,0,1,0,0,20,2,0,0
10,20.62,20.62,0,1,0,1,20,3,0,0
11,15.03,15.03,0,6,0,0,20,4,0,0
12,11.92,11.92,0,2,0,0,20,5,0,0
13,12.57,12.57,0,5,0,0,20,6,0,0
14,6.19,6.19,0,2,0,1,20,7,0,0
15,13.3,13.3,0,5,0,1,20,8,0,0
16,20.63,20.63,0,1,0,2,20,9,0,0
17,12.77,12.77,0,2,0,2,20,10,0,0
18,12.0,12.0,0,1,0,3,20,11,0,0
19,9.39,9.39,0,1,0,4,20,12,0,0
20,14.34,14.34,0,5,0,2,20,13,0,0
21,11.46,11.46,0,2,0,3,20,14,0,0
22,8.57,8.57,0,2,0,4,20,15,0,0
23,14.95,14.95,0,6,0,1,20,16,0,0
24,15.2,15.2,0,6,0,2,20,17,0,0
25,14.77,14.77,0,5,0,3,20,18,0,0
