idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,18.17,18.17,0,3,0,0,20,0,0,0
2,21.46,21.46,1,3,0,4,20,0,0,0
3,18.66,18.66,0,3,0,1,20,0,0,0
4,18.74,18.74,1,3,0,2,20,0,0,0
5,14.88,14.88,1,2,0,1,20,0,0,0
6,18.79,18.79,1,3,0,3,20,0,0,0
7,9.14,9.14,1,2,0,0,20,0,0,0
8,7.74,7.74,0,1,0,0,20,1,0,0
9,23.7,23.7,0,2,0,2,20,2,0,0
10,18.17,18.17,0,1,0,1,20,3,0,0
11,7.71,7.71,0,1,0,2,20,4,0,0
12,7.67,7.67,0,1,0,3,20,5,0,0
13,21.85,21.85,0,1,0,4,20,6,0,0
14,20.14,20.14,0,4,0,0,20,7,0,0
15,8.23,8.23,0,4,0,1,20,8,0,0
16,10.66,10.66,0,5,0,0,20,9,0,0
17,19.94,19.94,0,5,0,1,20,10,0,0
18,8.49,8.49,0,4,0,2,20,11,0,0
19,15.18,15.18,0,4,0,3,20,12,0,0
20,12.93,12.93,0,6,0,0,20,13,0,0
21,9.93,9.93,0,6,0,1,20,14,0,0
22,7.73,7.73,0,6,0,2,20,15,0,0
23,9.54,9.54,0,6,0,3,20,16,0,0
24,20.79,20.79,0,4,0,4,20,17,0,0
25,6.89,6.89,0,6,0,4,20,18,0,0
