idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,15.68,15.68,0,6,0,0,20,0,0,0
2,5.39,5.39,0,4,0,0,20,0,0,0
3,5.74,5.74,0,4,0,1,20,0,0,0
4,13.71,13.71,0,6,0,1,20,0,0,0
5,19.67,19.67,1,6,0,2,20,0,0,0
6,6.2,6.2,1,4,0,2,20,0,0,0
7,6.88,6.88,1,4,0,3,20,0,0,0
8,14.01,14.01,0,3,0,0,20,1,0,0
9,17.78,17.78,0,3,0,1,20,2,0,0
10,16.71,16.71,0,3,0,2,20,3,0,0
11,16.82,16.82,0,3,0,3,20,4,0,0
12,22.82,22.82,0,3,0,4,20,5,0,0
13,8.17,8.17,0,2,0,0,20,6,0,0
14,18.47,18.47,0,2,0,1,20,7,0,0
15,21.62,21.62,0,6,0,3,20,8,0,0
16,5.54,5.54,0,1,0,0,20,9,0,0
17,8.07,8.07,0,4,0,4,20,10,0,0
18,17.37,17.37,0,2,0,2,20,11,0,0
19,5.42,5.42,0,1,0,1,20,12,0,0
20,23.02,23.02,0,6,0,4,20,13,0,0
21,7.77,7.77,0,1,0,2,20,14,0,0
22,20.29,20.29,0,5,0,0,20,15,0,0
23,16.72,16.72,0,1,0,3,20,16,0,0
24,20.31,20.31,0,5,0,1,20,17,0,0
25,19.11,19.11,0,2,0,3,20,18,0,0
