idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,4,0,2,12.03,0,0,1,20
2,6,0,0,7.72,0,0,0,20
3,4,0,4,21.06,0,0,1,20
4,4,0,0,5.18,0,0,0,20
5,6,0,1,21.14,0,0,1,20
6,4,0,3,18.48,0,0,1,20
7,4,0,1,11.05,0,0,1,20
8,1,0,0,6.46,1,0,0,20
9,1,0,1,13.21,2,0,0,20
10,2,0,0,6.14,3,0,0,20
11,2,0,1,9.79,4,0,0,20
12,1,0,2,19.25,5,0,0,20
13,6,0,2,23.2,6,0,0,20
14,3,0,0,5.66,7,0,0,20
15,1,0,3,22.27,8,0,0,20
16,1,0,4,12.92,9,0,0,20
17,2,0,2,11.86,10,0,0,20
18,3,0,1,7.23,11,0,0,20
19,6,0,3,23.3,12,0,0,20
20,2,0,3,12.17,13,0,0,20
21,3,0,2,10.13,14,0,0,20
22,5,0,0,15.93,15,0,0,20
23,3,0,3,10.68,16,0,0,20
24,2,0,4,13.67,17,0,0,20
25,5,0,1,17.87,18,0,0,20
