idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,19.45,19.45,0,6,0,0,20,0,0,0
2,19.58,19.58,0,6,0,1,20,0,0,0
3,21.41,21.41,1,6,0,2,20,0,0,0
4,21.32,21.32,1,2,0,2,20,0,0,0
5,11.91,11.91,1,2,0,1,20,0,0,0
6,23.09,23.09,1,6,0,3,20,0,0,0
7,8.35,8.35,0,2,0,0,20,0,0,0
8,19.14,19.14,0,1,0,0,20,1,0,0
9,21.76,21.76,0,2,0,3,20,2,0,0
10,16.18,16.18,0,5,0,0,20,3,0,0
11,9.74,9.74,0,1,0,1,20,4,0,0
12,23.25,23.25,0,6,0,4,20,5,0,0
13,19.34,19.34,0,5,0,1,20,6,0,0
14,13.36,13.36,0,1,0,2,20,7,0,0
15,14.6,14.6,0,4,0,0,20,8,0,0
16,19.42,19.42,0,5,0,2,20,9,0,0
17,10.03,10.03,0,3,0,0,20,10,0,0
18,17.19,17.19,0,4,0,1,20,11,0,0
19,15.95,15.95,0,3,0,1,20,12,0,0
20,18.78,18.78,0,4,0,2,20,13,0,0
21,11.27,11.27,0,1,0,3,20,14,0,0
22,16.91,16.91,0,3,0,2,20,15,0,0
23,16.51,16.51,0,3,0,3,20,16,0,0
24,9.0,9.0,0,1,0,4,20,17,0,0
25,15.94,15.94,0,3,0,4,20,18,0,0
