idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,7.89,7.89,0,1,0,0,20,0,0,0
2,16.78,16.78,1,3,0,4,20,0,0,0
3,8.37,8.37,0,3,0,0,20,0,0,0
4,8.69,8.69,0,3,0,1,20,0,0,0
5,7.71,7.71,0,1,0,1,20,0,0,0
6,14.55,14.55,1,3,0,3,20,0,0,0
7,12.79,12.79,1,3,0,2,20,0,0,0
8,6.71,6.71,0,2,0,0,20,1,0,0
9,17.94,17.94,0,6,0,0,20,2,0,0
10,18.8,18.8,0,6,0,1,20,3,0,0
11,23.81,23.81,0,6,0,2,20,4,0,0
12,8.86,8.86,0,5,0,0,20,5,0,0
13,11.0,11.0,0,5,0,1,20,6,0,0
14,17.92,17.92,0,5,0,2,20,7,0,0
15,11.79,11.79,0,1,0,2,20,8,0,0
16,7.79,7.79,0,2,0,1,20,9,0,0
17,13.09,13.09,0,1,0,3,20,10,0,0
18,6.51,6.51,0,2,0,2,20,11,0,0
19,8.69,8.69,0,2,0,3,20,12,0,0
20,17.81,17.81,0,1,0,4,20,13,0,0
21,9.28,9.28,0,2,0,4,20,14,0,0
22,23.75,23.75,0,5,0,3,20,15,0,0
23,20.15,20.15,0,4,0,0,20,16,0,0
24,21.45,21.45,0,4,0,1,20,17,0,0
25,7.47,7.47,0,4,0,2,20,18,0,0
