idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,6.11,6.11,0,5,0,0,20,0,0,0
2,8.18,8.18,0,4,0,0,20,0,0,0
3,6.57,6.57,0,4,0,1,20,0,0,0
4,21.67,21.67,0,6,0,0,20,0,0,0
5,22.51,22.51,0,6,0,1,20,0,0,0
6,20.27,20.27,0,4,0,2,20,0,0,0
7,22.8,22.8,1,6,0,2,20,0,0,0
8,15.62,15.62,0,5,0,1,20,1,0,0
9,18.2,18.2,0,5,0,2,20,2,0,0
10,15.93,15.93,0,1,0,0,20,3,0,0
11,23.49,23.49,0,6,0,3,20,4,0,0
12,22.43,22.43,0,4,0,3,20,5,0,0
13,9.21,9.21,0,1,0,1,20,6,0,0
14,18.47,18.47,0,5,0,3,20,7,0,0
15,21.73,21.73,0,5,0,4,20,8,0,0
16,15.26,15.26,0,1,0,2,20,9,0,0
17,13.01,13.01,0,3,0,0,20,10,0,0
18,16.04,16.04,0,1,0,3,20,11,0,0
19,19.57,19.57,0,1,0,4,20,12,0,0
20,8.71,8.71,0,2,0,0,20,13,0,0
21,14.56,14.56,0,3,0,1,20,14,0,0
22,11.54,11.54,0,2,0,1,20,15,0,0
23,14.91,14.91,0,2,0,2,20,16,0,0
24,9.55,9.55,0,3,0,2,20,17,0,0
25,8.13,8.13,0,3,0,3,20,18,0,0
