idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,1,0,4,13.22,0,0,1,20
2,3,0,1,16.02,0,0,1,20
3,3,0,0,5.25,0,0,0,20
4,1,0,0,19.2,0,0,0,20
5,1,0,1,20.07,0,0,0,20
6,1,0,2,18.96,0,0,0,20
7,1,0,3,13.12,0,0,0,20
8,3,0,2,22.59,1,0,0,20
9,2,0,0,13.95,2,0,0,20
10,2,0,1,7.2,3,0,0,20
11,2,0,2,5.2,4,0,0,20
12,6,0,0,16.7,5,0,0,20
13,2,0,3,7.67,6,0,0,20
14,4,0,0,5.62,7,0,0,20
15,6,0,1,16.81,8,0,0,20
16,6,0,2,18.14,9,0,0,20
17,2,0,4,16.3,10,0,0,20
18,6,0,3,18.86,11,0,0,20
19,4,0,1,11.42,12,0,0,20
20,5,0,0,11.18,13,0,0,20
21,4,0,2,15.19,14,0,0,20
22,5,0,1,5.02,15,0,0,20
23,5,0,2,14.75,16,0,0,20
