idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,5.98,5.98,0,2,0,0,20,0,0,0
2,12.29,12.29,0,2,0,1,20,0,0,0
3,16.74,16.74,0,1,0,0,20,0,0,0
4,17.46,17.46,1,2,0,2,20,0,0,0
5,10.4,10.4,0,1,0,1,20,0,0,0
6,17.46,17.46,0,4,0,0,20,0,0,0
7,20.63,20.63,0,4,0,1,20,0,0,0
8,19.89,19.89,0,4,0,2,20,0,0,0
9,14.02,14.02,0,3,0,0,20,0,0,0
10,20.34,20.34,1,3,0,1,20,0,0,0
11,23.01,23.01,1,3,0,4,20,0,0,0
12,6.92,6.92,0,1,0,2,20,0,0,0
13,22.56,22.56,1,3,0,3,20,0,0,0
14,20.8,20.8,1,3,0,2,20,0,0,0
15,19.92,19.92,2,4,0,3,20,0,0,0
16,14.77,14.77,0,1,0,3,20,1,0,0
17,7.77,7.77,0,5,0,0,20,2,0,0
18,19.41,19.41,0,2,0,3,20,3,0,0
19,13.78,13.78,0,5,0,1,20,4,0,0
20,16.24,16.24,0,1,0,4,20,5,0,0
21,20.35,20.35,0,4,0,4,20,6,0,0
22,20.57,20.57,0,2,0,4,20,7,0,0
23,8.3,8.3,0,6,0,0,20,8,0,0
24,10.17,10.17,0,6,0,1,20,9,0,0
25,15.76,15.76,0,5,0,2,20,10,0,0
