idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,6.6,6.6,0,6,0,0,20,0,0,0
2,20.81,20.81,2,6,0,2,20,0,0,0
3,18.06,18.06,0,4,0,0,20,0,0,0
4,12.44,12.44,0,2,0,0,20,0,0,0
5,21.06,21.06,1,4,0,3,20,0,0,0
6,12.36,12.36,1,3,0,3,20,0,0,0
7,10.27,10.27,0,4,0,1,20,0,0,0
8,20.83,20.83,0,4,0,2,20,0,0,0
9,19.34,19.34,1,6,0,1,20,0,0,0
10,10.07,10.07,0,3,0,0,20,0,0,0
11,8.74,8.74,0,2,0,1,20,0,0,0
12,23.63,23.63,1,6,0,3,20,0,0,0
13,21.83,21.83,1,4,0,4,20,0,0,0
14,11.81,11.81,1,3,0,2,20,0,0,0
15,11.45,11.45,1,3,0,1,20,0,0,0
16,16.54,16.54,0,5,0,0,20,1,0,0
17,23.26,23.26,0,5,0,1,20,2,0,0
18,8.19,8.19,0,1,0,0,20,3,0,0
19,7.43,7.43,0,1,0,1,20,4,0,0
20,11.44,11.44,0,2,0,2,20,5,0,0
21,20.75,20.75,0,5,0,2,20,6,0,0
22,21.32,21.32,0,5,0,3,20,7,0,0
23,6.53,6.53,0,1,0,2,20,8,0,0
24,17.19,17.19,0,3,0,4,20,9,0,0
25,5.29,5.29,0,1,0,3,20,10,0,0
