idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,13.97,13.97,0,6,0,0,20,0,0,0
2,15.74,15.74,0,2,0,0,20,0,0,0
3,10.07,10.07,0,3,0,0,20,0,0,0
4,16.39,16.39,2,2,0,2,20,0,0,0
5,7.93,7.93,0,5,0,0,20,0,0,0
6,16.09,16.09,0,2,0,1,20,0,0,0
7,18.27,18.27,1,2,0,3,20,0,0,0
8,21.92,21.92,0,6,0,1,20,0,0,0
9,9.2,9.2,2,5,0,1,20,0,0,0
10,21.9,21.9,1,6,0,3,20,0,0,0
11,19.76,19.76,0,6,0,2,20,0,0,0
12,6.9,6.9,1,1,0,1,20,0,0,0
13,23.24,23.24,1,6,0,4,20,0,0,0
14,12.06,12.06,2,3,0,1,20,0,0,0
15,6.7,6.7,1,1,0,0,20,0,0,0
16,8.3,8.3,0,1,0,2,20,1,0,0
17,22.67,22.67,0,2,0,4,20,2,0,0
18,9.34,9.34,0,5,0,2,20,3,0,0
19,18.36,18.36,0,3,0,2,20,4,0,0
20,13.38,13.38,0,5,0,3,20,5,0,0
21,13.88,13.88,0,5,0,4,20,6,0,0
22,20.04,20.04,0,3,0,3,20,7,0,0
23,17.82,17.82,0,1,0,3,20,8,0,0
24,16.34,16.34,0,4,0,0,20,9,0,0
25,5.5,5.5,0,4,0,1,20,10,0,0
