idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,4,0,0,20.15,0,0,0,20
2,3,0,0,13.27,0,0,0,20
3,4,0,1,17.98,0,0,0,20
4,5,0,4,16.37,0,0,2,20
5,5,0,1,11.82,0,0,1,20
6,5,0,0,5.13,0,0,1,20
7,4,0,2,20.23,0,0,1,20
8,5,0,3,15.97,0,0,1,20
9,3,0,1,12.62,0,0,0,20
10,2,0,0,17.79,0,0,0,20
11,3,0,4,12.31,0,0,1,20
12,4,0,3,23.24,0,0,1,20
13,5,0,2,12.01,0,0,2,20
14,3,0,3,11.31,0,0,1,20
15,3,0,2,6.02,0,0,0,20
16,1,0,0,11.04,1,0,0,20
17,6,0,0,15.02,2,0,0,20
18,1,0,1,13.93,3,0,0,20
19,2,0,1,22.46,4,0,0,20
20,1,0,2,12.5,5,0,0,20
21,6,0,1,19.31,6,0,0,20
22,6,0,2,22.36,7,0,0,20
23,1,0,3,17.77,8,0,0,20
24,1,0,4,7.57,9,0,0,20
25,6,0,3,13.29,10,0,0,20
