idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,14.01,14.01,0,2,0,0,20,0,0,0
2,13.97,13.97,0,1,0,0,20,0,0,0
3,21.8,21.8,1,2,0,2,20,0,0,0
4,6.95,6.95,0,3,0,0,20,0,0,0
5,11.57,11.57,0,3,0,1,20,0,0,0
6,16.8,16.8,0,5,0,0,20,0,0,0
7,15.58,15.58,1,2,0,1,20,0,0,0
8,8.21,8.21,1,3,0,3,20,0,0,0
9,6.68,6.68,0,3,0,2,20,0,0,0
10,18.81,18.81,0,5,0,1,20,0,0,0
11,16.16,16.16,0,5,0,2,20,0,0,0
12,22.29,22.29,1,2,0,3,20,0,0,0
13,18.8,18.8,0,5,0,3,20,0,0,0
14,10.56,10.56,1,3,0,4,20,0,0,0
15,20.52,20.52,1,5,0,4,20,0,0,0
16,18.92,18.92,0,1,0,1,20,1,0,0
17,23.46,23.46,0,2,0,4,20,2,0,0
18,7.04,7.04,0,4,0,0,20,3,0,0
19,6.88,6.88,0,4,0,1,20,4,0,0
20,22.56,22.56,0,1,0,2,20,5,0,0
21,14.08,14.08,0,4,0,2,20,6,0,0
22,21.35,21.35,0,4,0,3,20,7,0,0
23,12.64,12.64,0,6,0,0,20,8,0,0
24,16.01,16.01,0,6,0,1,20,9,0,0
25,10.19,10.19,0,6,0,2,20,10,0,0
