idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,14.68,14.68,0,3,0,0,20,0,0,0
2,13.82,13.82,1,6,0,4,20,0,0,0
3,11.04,11.04,0,6,0,0,20,0,0,0
4,13.92,13.92,1,5,0,3,20,0,0,0
5,23.56,23.56,1,1,0,3,20,0,0,0
6,6.94,6.94,0,1,0,0,20,0,0,0
7,6.67,6.67,0,6,0,1,20,0,0,0
8,15.53,15.53,2,3,0,1,20,0,0,0
9,7.68,7.68,0,6,0,2,20,0,0,0
10,23.5,23.5,1,1,0,2,20,0,0,0
11,10.77,10.77,1,5,0,1,20,0,0,0
12,6.79,6.79,0,6,0,3,20,0,0,0
13,9.74,9.74,0,5,0,0,20,0,0,0
14,16.29,16.29,1,1,0,1,20,0,0,0
15,10.8,10.8,1,5,0,2,20,0,0,0
16,9.08,9.08,0,2,0,0,20,1,0,0
17,18.01,18.01,0,3,0,2,20,2,0,0
18,21.28,21.28,0,3,0,3,20,3,0,0
19,11.2,11.2,0,4,0,0,20,4,0,0
20,15.68,15.68,0,4,0,1,20,5,0,0
21,8.98,8.98,0,2,0,1,20,6,0,0
22,11.98,11.98,0,2,0,2,20,7,0,0
23,15.16,15.16,0,4,0,2,20,8,0,0
24,15.49,15.49,0,4,0,3,20,9,0,0
25,8.21,8.21,0,2,0,3,20,10,0,0
