idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,10.79,10.79,0,5,0,0,20,0,0,0
2,19.94,19.94,0,6,0,0,20,0,0,0
3,8.09,8.09,0,3,0,0,20,0,0,0
4,19.69,19.69,1,6,0,2,20,0,0,0
5,8.5,8.5,0,1,0,0,20,0,0,0
6,8.77,8.77,0,5,0,1,20,0,0,0
7,8.62,8.62,1,1,0,4,20,0,0,0
8,8.04,8.04,0,5,0,2,20,0,0,0
9,9.0,9.0,0,1,0,1,20,0,0,0
10,9.18,9.18,0,5,0,3,20,0,0,0
11,10.19,10.19,0,1,0,2,20,0,0,0
12,8.53,8.53,0,1,0,3,20,0,0,0
13,20.46,20.46,1,6,0,3,20,0,0,0
14,12.88,12.88,0,6,0,1,20,0,0,0
15,10.02,10.02,1,5,0,4,20,0,0,0
16,8.51,8.51,0,2,0,0,20,1,0,0
17,20.17,20.17,0,2,0,1,20,2,0,0
18,20.52,20.52,0,6,0,4,20,3,0,0
19,9.74,9.74,0,2,0,2,20,4,0,0
20,10.42,10.42,0,4,0,0,20,5,0,0
21,8.51,8.51,0,3,0,1,20,6,0,0
22,21.61,21.61,0,4,0,1,20,7,0,0
23,12.81,12.81,0,2,0,3,20,8,0,0
24,19.51,19.51,0,2,0,4,20,9,0,0
25,13.85,13.85,0,3,0,2,20,10,0,0
