idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,5.14,5.14,0,6,0,0,20,0,0,0
2,23.22,23.22,0,3,0,0,20,0,0,0
3,20.91,20.91,0,3,0,1,20,0,0,0
4,12.06,12.06,1,6,0,2,20,0,0,0
5,19.91,19.91,1,5,0,4,20,0,0,0
6,13.05,13.05,1,5,0,3,20,0,0,0
7,5.77,5.77,0,5,0,0,20,0,0,0
8,19.93,19.93,0,4,0,0,20,0,0,0
9,8.03,8.03,0,5,0,1,20,0,0,0
10,8.56,8.56,0,4,0,1,20,0,0,0
11,19.77,19.77,0,4,0,2,20,0,0,0
12,18.87,18.87,1,4,0,4,20,0,0,0
13,8.65,8.65,1,5,0,2,20,0,0,0
14,5.07,5.07,0,6,0,1,20,0,0,0
15,18.37,18.37,0,4,0,3,20,0,0,0
16,16.13,16.13,0,6,0,3,20,1,0,0
17,18.6,18.6,0,6,0,4,20,2,0,0
18,12.41,12.41,0,2,0,0,20,3,0,0
19,19.38,19.38,0,2,0,1,20,4,0,0
20,5.7,5.7,0,1,0,0,20,5,0,0
21,14.23,14.23,0,1,0,1,20,6,0,0
22,12.13,12.13,0,1,0,2,20,7,0,0
23,17.46,17.46,0,1,0,3,20,8,0,0
24,23.98,23.98,0,3,0,2,20,9,0,0
25,17.23,17.23,0,2,0,2,20,10,0,0
