idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,14.39,14.39,1,5,0,3,20,0,0,0
2,21.66,21.66,1,4,0,4,20,0,0,0
3,6.31,6.31,0,1,0,0,20,0,0,0
4,23.34,23.34,0,4,0,0,20,0,0,0
5,10.61,10.61,1,1,0,4,20,0,0,0
6,8.53,8.53,0,6,0,0,20,0,0,0
7,16.84,16.84,0,4,0,1,20,0,0,0
8,12.31,12.31,1,5,0,2,20,0,0,0
9,15.89,15.89,0,4,0,2,20,0,0,0
10,16.65,16.65,0,1,0,1,20,0,0,0
11,7.75,7.75,0,1,0,2,20,0,0,0
12,20.32,20.32,1,4,0,3,20,0,0,0
13,10.24,10.24,1,1,0,3,20,0,0,0
14,22.42,22.42,0,5,0,0,20,0,0,0
15,12.17,12.17,0,5,0,1,20,0,0,0
16,6.19,6.19,0,2,0,0,20,1,0,0
17,12.91,12.91,0,6,0,1,20,2,0,0
18,12.4,12.4,0,2,0,1,20,3,0,0
19,16.95,16.95,0,5,0,4,20,4,0,0
20,19.0,19.0,0,6,0,2,20,5,0,0
21,5.99,5.99,0,3,0,0,20,6,0,0
22,18.54,18.54,0,2,0,2,20,7,0,0
23,6.9,6.9,0,3,0,1,20,8,0,0
24,23.19,23.19,0,6,0,3,20,9,0,0
25,6.61,6.61,0,3,0,2,20,10,0,0
