idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,6,0,0,21.42,0,0,20,2,221.42000000000002
2,6,0,1,9.77,0,0,20,2,209.77
3,6,0,2,10.62,0,1,20,2,210.62
4,2,0,1,5.43,0,1,20,1,105.43
5,2,0,0,11.92,0,0,20,0,11.92
6,1,0,0,11.32,1,0,20,0,11.32
7,1,0,1,22.49,2,0,20,0,22.49
8,2,0,2,11.39,3,0,20,1,111.39
9,3,0,0,18.95,4,0,20,0,18.95
10,4,0,0,10.71,5,0,20,0,10.71
11,2,0,3,22.03,6,0,20,3,322.03
12,1,0,2,11.23,7,0,20,3,311.23
13,4,0,1,12.95,8,0,20,0,12.95
14,5,0,0,8.09,9,0,20,0,8.09
15,3,0,1,23.11,10,0,20,0,23.11
16,1,0,3,21.07,11,0,20,3,321.07
17,3,0,2,7.54,12,0,20,2,207.54
18,5,0,1,8.04,13,0,20,0,8.04
19,4,0,2,22.06,14,0,20,0,22.06
20,4,0,3,23.8,15,0,20,0,23.8
21,6,0,3,18.85,16,0,20,3,318.85
22,3,0,3,17.39,17,0,20,2,217.39
23,5,0,2,22.32,18,0,20,0,22.32
24,5,0,3,16.71,19,0,20,0,16.71
25,4,0,4,20.35,20,0,20,1,120.35
