idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,6,0,0,14.86,3,314.86,0,0,20
2,4,0,2,15.07,2,215.07,0,1,20
3,4,0,4,8.53,3,308.53,0,1,20
4,4,0,3,21.68,2,221.68,0,1,20
5,4,0,1,23.63,1,123.63,0,1,20
6,6,0,1,18.97,3,318.97,0,1,20
7,4,0,0,21.22,0,21.22,0,1,20
8,1,0,0,5.88,3,305.88,1,0,20
9,1,0,1,7.04,3,307.04,2,0,20
10,2,0,0,19.95,2,219.95,3,0,20
11,3,0,0,19.59,0,19.59,4,0,20
12,3,0,1,6.48,2,206.48,5,0,20
13,3,0,2,15.11,2,215.11,6,0,20
14,5,0,0,5.73,2,205.73,7,0,20
15,2,0,1,23.39,2,223.39,8,0,20
16,5,0,1,21.8,1,121.8,9,0,20
17,5,0,2,22.07,1,122.07,10,0,20
18,1,0,2,12.65,3,312.65,11,0,20
19,1,0,3,18.89,3,318.89,12,0,20
20,2,0,2,12.09,3,312.09,13,0,20
21,5,0,3,19.83,0,19.83,14,0,20
22,3,0,3,6.25,3,306.25,15,0,20
23,5,0,4,7.13,1,107.13,16,0,20
24,3,0,4,17.56,0,17.56,17,0,20
25,2,0,3,14.85,0,14.85,18,0,20
26,2,0,4,16.06,1,116.06,19,0,20
27,1,0,4,21.87,2,221.87,20,0,20
