idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,5,0,4,18.87,1,118.87,0,1,20
2,5,0,2,7.69,1,107.69,0,1,20
3,2,0,0,21.08,2,221.07999999999998,0,0,20
4,2,0,1,18.78,3,318.78,0,1,20
5,5,0,0,18.58,2,218.57999999999998,0,0,20
6,5,0,1,22.78,0,22.78,0,0,20
7,5,0,3,14.18,1,114.18,0,1,20
8,1,0,0,8.58,1,108.58,1,0,20
9,1,0,1,21.6,1,121.6,2,0,20
10,3,0,0,7.22,1,107.22,3,0,20
11,1,0,2,15.44,2,215.44,4,0,20
12,4,0,0,5.5,1,105.5,5,0,20
13,1,0,3,15.35,3,315.35,6,0,20
14,6,0,0,12.68,0,12.68,7,0,20
15,2,0,2,23.39,3,323.39,8,0,20
16,1,0,4,20.23,3,320.23,9,0,20
17,3,0,1,21.52,2,221.52,10,0,20
18,4,0,1,17.6,2,217.6,11,0,20
19,3,0,2,23.09,3,323.09,12,0,20
20,6,0,1,9.07,2,209.07,13,0,20
21,4,0,2,21.9,2,221.9,14,0,20
22,6,0,2,22.63,0,22.63,15,0,20
23,4,0,3,12.51,3,312.51,16,0,20
24,6,0,3,5.52,2,205.52,17,0,20
25,6,0,4,12.41,0,12.41,18,0,20
26,4,0,4,14.45,2,214.45,19,0,20
27,3,0,3,7.52,3,307.52,20,0,20
