idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,6,0,1,20.87,0,2,20,1,120.87
2,6,0,0,14.63,0,0,20,1,114.63
3,5,0,0,12.26,0,0,20,1,112.26
4,2,0,3,9.14,0,1,20,1,109.14
5,5,0,2,12.62,0,1,20,3,312.62
6,5,0,3,18.88,0,1,20,3,318.88
7,5,0,1,22.01,0,0,20,2,222.01
8,2,0,2,7.91,0,1,20,1,107.91
9,2,0,0,5.56,0,0,20,0,5.56
10,2,0,1,12.03,0,1,20,0,12.03
11,6,0,2,22.83,1,0,20,3,322.83
12,1,0,0,5.54,2,0,20,3,305.54
13,3,0,0,7.46,3,0,20,1,107.46
14,4,0,0,7.54,4,0,20,0,7.54
15,4,0,1,16.32,5,0,20,0,16.32
16,3,0,1,13.21,6,0,20,2,213.21
17,1,0,1,8.16,7,0,20,3,308.16
18,1,0,2,14.59,8,0,20,3,314.59
19,4,0,2,7.3,9,0,20,0,7.3
20,3,0,2,20.91,10,0,20,2,220.91
21,4,0,3,17.9,11,0,20,0,17.9
22,3,0,3,9.27,12,0,20,3,309.27
23,4,0,4,18.52,13,0,20,0,18.52
24,2,0,4,7.83,14,0,20,2,207.83
25,3,0,4,8.28,15,0,20,0,8.28
26,1,0,3,22.68,16,0,20,1,122.68
27,1,0,4,12.43,17,0,20,0,12.43
