idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,0,14.98,0,14.98,0,0,20
2,4,0,2,13.38,2,213.38,0,1,20
3,3,0,4,23.47,3,323.47,0,1,20
4,4,0,4,9.09,3,309.09,0,1,20
5,3,0,0,17.09,1,117.09,0,0,20
6,3,0,3,15.25,0,15.25,0,1,20
7,4,0,1,17.31,0,17.31,0,0,20
8,3,0,1,20.39,0,20.39,0,0,20
9,3,0,2,12.25,0,12.25,0,0,20
10,4,0,3,8.07,3,308.07,0,1,20
11,1,0,0,8.08,2,208.08,1,0,20
12,2,0,0,18.12,0,18.12,2,0,20
13,1,0,1,17.68,3,317.68,3,0,20
14,2,0,1,5.33,1,105.33,4,0,20
15,2,0,2,17.19,1,117.19,5,0,20
16,2,0,3,11.06,3,311.06,6,0,20
17,5,0,0,22.99,2,222.99,7,0,20
18,6,0,0,23.84,0,23.84,8,0,20
19,6,0,1,18.69,1,118.69,9,0,20
20,2,0,4,17.44,3,317.44,10,0,20
21,6,0,2,22.32,2,222.32,11,0,20
22,5,0,1,20.46,0,20.46,12,0,20
23,5,0,2,15.9,1,115.9,13,0,20
24,5,0,3,20.75,0,20.75,14,0,20
25,5,0,4,9.58,0,9.58,15,0,20
26,6,0,3,15.05,2,215.05,16,0,20
27,6,0,4,15.4,3,315.4,17,0,20
