idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,1,0,3,22.33,0,1,20,1,122.33
2,1,0,0,9.53,0,0,20,0,9.53
3,1,0,4,19.6,0,1,20,3,319.6
4,1,0,2,21.17,0,1,20,0,21.17
5,1,0,1,12.45,0,0,20,0,12.45
6,2,0,0,5.98,1,0,20,1,105.98
7,3,0,0,13.16,2,0,20,0,13.16
8,2,0,1,11.56,3,0,20,2,211.56
9,2,0,2,13.63,4,0,20,2,213.63
10,2,0,3,17.84,5,0,20,2,217.84
11,4,0,0,5.94,6,0,20,0,5.94
12,2,0,4,19.6,7,0,20,3,319.6
13,3,0,1,22.36,8,0,20,3,322.36
14,4,0,1,19.91,9,0,20,2,219.91
15,4,0,2,21.7,10,0,20,3,321.7
16,5,0,0,7.54,11,0,20,3,307.54
17,6,0,0,23.27,12,0,20,1,123.27
18,5,0,1,16.62,13,0,20,3,316.62
19,6,0,1,12.25,14,0,20,0,12.25
20,6,0,2,8.13,15,0,20,0,8.13
