idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,6,0,0,16.09,2,216.09,0,0,20
2,6,0,1,19.8,3,319.8,0,0,20
3,2,0,2,23.42,0,23.42,0,1,20
4,2,0,1,19.9,0,19.9,0,1,20
5,2,0,0,5.94,0,5.94,0,0,20
6,1,0,0,19.94,0,19.94,1,0,20
7,1,0,1,11.85,3,311.85,2,0,20
8,3,0,0,15.16,0,15.16,3,0,20
9,3,0,1,21.88,0,21.88,4,0,20
10,2,0,3,14.65,1,114.65,5,0,20
11,3,0,2,21.76,1,121.76,6,0,20
12,4,0,0,8.26,1,108.26,7,0,20
13,1,0,2,21.89,3,321.89,8,0,20
14,5,0,0,7.15,0,7.15,9,0,20
15,3,0,3,13.78,2,213.78,10,0,20
16,3,0,4,18.7,3,318.7,11,0,20
17,5,0,1,12.7,0,12.7,12,0,20
18,2,0,4,17.94,1,117.94,13,0,20
19,5,0,2,23.22,0,23.22,14,0,20
20,5,0,3,17.19,0,17.19,15,0,20
