idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,3,0,0,17.49,0,0,20,0,17.49
2,2,0,0,8.39,0,0,20,2,208.39
3,3,0,3,9.4,0,1,20,3,309.4
4,3,0,2,22.58,0,1,20,2,222.57999999999998
5,3,0,1,11.35,0,1,20,1,111.35
6,1,0,0,14.15,1,0,20,0,14.15
7,1,0,1,23.26,2,0,20,0,23.26
8,4,0,0,17.31,3,0,20,0,17.31
9,2,0,1,12.47,4,0,20,2,212.47
10,1,0,2,10.41,5,0,20,1,110.41
11,1,0,3,6.79,6,0,20,2,206.79
12,2,0,2,18.49,7,0,20,3,318.49
13,1,0,4,9.5,8,0,20,2,209.5
14,3,0,4,15.1,9,0,20,3,315.1
15,4,0,1,22.08,10,0,20,0,22.08
16,4,0,2,7.4,11,0,20,2,207.4
17,4,0,3,5.38,12,0,20,3,305.38
18,5,0,0,10.85,13,0,20,0,10.85
19,4,0,4,12.88,14,0,20,3,312.88
20,5,0,1,15.68,15,0,20,0,15.68
