idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,4,0,2,18.04,0,1,20,2,218.04
2,4,0,0,6.23,0,0,20,0,6.23
3,4,0,1,16.73,0,1,20,1,116.73
4,4,0,3,22.43,0,1,20,2,222.43
5,4,0,4,18.15,0,1,20,3,318.15
6,1,0,0,10.01,1,0,20,0,10.01
7,1,0,1,13.48,2,0,20,0,13.48
8,2,0,0,19.21,3,0,20,2,219.21
9,1,0,2,15.1,4,0,20,1,115.1
10,3,0,0,11.45,5,0,20,0,11.45
11,3,0,1,7.63,6,0,20,1,107.63
12,3,0,2,14.5,7,0,20,2,214.5
13,5,0,0,10.03,8,0,20,2,210.03
14,6,0,0,14.93,9,0,20,0,14.93
15,6,0,1,22.42,10,0,20,0,22.42
16,2,0,1,17.72,11,0,20,3,317.72
17,1,0,3,17.55,12,0,20,1,117.55
18,6,0,2,7.23,13,0,20,0,7.23
19,3,0,3,18.47,14,0,20,2,218.47
20,3,0,4,9.27,15,0,20,3,309.27
