idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,0,5.39,0,5.39,0,0,20
2,1,0,4,22.26,3,322.26,0,1,20
3,1,0,3,12.26,3,312.26,0,1,20
4,1,0,2,21.84,2,221.84,0,1,20
5,1,0,1,17.28,2,217.28,0,0,20
6,2,0,0,13.07,1,113.07,1,0,20
7,3,0,0,5.58,1,105.58,2,0,20
8,2,0,1,23.08,3,323.08,3,0,20
9,4,0,0,17.77,0,17.77,4,0,20
10,3,0,1,15.72,1,115.72,5,0,20
11,4,0,1,14.18,1,114.18,6,0,20
12,5,0,0,12.01,0,12.01,7,0,20
13,4,0,2,15.54,1,115.53999999999999,8,0,20
14,3,0,2,18.02,3,318.02,9,0,20
15,5,0,1,6.58,1,106.58,10,0,20
16,4,0,3,23.81,2,223.81,11,0,20
17,6,0,0,8.8,0,8.8,12,0,20
18,5,0,2,22.1,1,122.1,13,0,20
19,4,0,4,14.62,3,314.62,14,0,20
20,6,0,1,22.36,0,22.36,15,0,20
