idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,2,0,4,14.38,2,214.38,0,1,20
2,2,0,2,16.87,1,116.87,0,1,20
3,2,0,0,6.38,1,106.38,0,1,20
4,2,0,1,6.94,1,106.94,0,1,20
5,2,0,3,5.9,2,205.9,0,1,20
6,1,0,0,20.11,0,20.11,1,0,20
7,1,0,1,11.85,3,311.85,2,0,20
8,3,0,0,8.76,2,208.76,3,0,20
9,4,0,0,8.17,2,208.17,4,0,20
10,5,0,0,22.21,1,122.21000000000001,5,0,20
11,6,0,0,22.64,0,22.64,6,0,20
12,6,0,1,17.24,0,17.24,7,0,20
13,3,0,1,7.15,3,307.15,8,0,20
14,3,0,2,11.17,3,311.17,9,0,20
15,4,0,1,5.99,3,305.99,10,0,20
16,6,0,2,7.27,1,107.27,11,0,20
17,1,0,2,17.21,3,317.21,12,0,20
18,5,0,1,17.43,0,17.43,13,0,20
19,6,0,3,9.53,2,209.53,14,0,20
20,3,0,3,15.48,3,315.48,15,0,20
