idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,2,7.02,2,207.02,0,1,20
2,4,0,3,15.95,2,215.95,0,1,20
3,4,0,0,13.68,2,213.68,0,0,20
4,4,0,4,17.3,2,217.3,0,1,20
5,4,0,1,11.21,1,111.21000000000001,0,0,20
6,1,0,0,17.21,1,117.21000000000001,1,0,20
7,2,0,0,11.81,1,111.81,2,0,20
8,1,0,1,16.59,3,316.59,3,0,20
9,2,0,1,14.91,3,314.91,4,0,20
10,3,0,0,10.47,1,110.47,5,0,20
11,3,0,1,19.13,2,219.13,6,0,20
12,5,0,0,20.41,0,20.41,7,0,20
13,3,0,2,21.84,2,221.84,8,0,20
14,3,0,3,8.45,3,308.45,9,0,20
15,5,0,1,6.56,1,106.56,10,0,20
16,5,0,2,23.53,1,123.53,11,0,20
17,6,0,0,18.98,0,18.98,12,0,20
18,5,0,3,6.35,2,206.35,13,0,20
19,6,0,1,18.34,0,18.34,14,0,20
20,5,0,4,17.85,2,217.85,15,0,20
