idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,3,18.7,3,318.7,0,1,20
2,6,0,1,12.19,1,112.19,0,1,20
3,6,0,0,10.67,1,110.67,0,0,20
4,5,0,1,9.86,1,109.86,0,1,20
5,4,0,0,12.49,2,212.49,0,0,20
6,5,0,2,14.66,1,114.66,0,1,20
7,4,0,1,8.5,3,308.5,0,0,20
8,5,0,3,5.29,2,205.29,0,1,20
9,4,0,2,15.47,3,315.47,0,1,20
10,5,0,0,16.26,0,16.26,0,1,20
11,1,0,0,8.69,0,8.69,1,0,20
12,4,0,4,20.29,3,320.29,2,0,20
13,5,0,4,10.56,2,210.56,3,0,20
14,6,0,2,22.66,3,322.66,4,0,20
15,1,0,1,9.24,2,209.24,5,0,20
16,2,0,0,9.27,0,9.27,6,0,20
17,2,0,1,8.76,2,208.76,7,0,20
18,1,0,2,16.39,2,216.39,8,0,20
19,3,0,0,21.42,0,21.42,9,0,20
20,3,0,1,12.95,0,12.95,10,0,20
21,6,0,3,23.74,3,323.74,11,0,20
22,1,0,3,12.36,3,312.36,12,0,20
23,2,0,2,17.57,2,217.57,13,0,20
24,3,0,2,20.68,1,120.68,14,0,20
25,3,0,3,9.1,0,9.1,15,0,20
