idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,5,0,0,22.34,2,222.34,0,0,20
2,5,0,1,8.52,2,208.52,0,0,20
3,2,0,2,8.28,1,108.28,0,1,20
4,2,0,0,15.45,0,15.45,0,0,20
5,5,0,2,12.93,3,312.93,0,1,20
6,2,0,1,21.6,0,21.6,0,0,20
7,1,0,0,22.87,1,122.87,0,0,20
8,1,0,1,23.81,1,123.81,0,0,20
9,1,0,2,18.79,2,218.79,0,1,20
10,5,0,3,20.32,3,320.32,0,1,20
11,2,0,3,7.57,2,207.57,1,0,20
12,2,0,4,16.22,2,216.22,2,0,20
13,1,0,3,9.04,3,309.04,3,0,20
14,3,0,0,12.93,1,112.93,4,0,20
15,3,0,1,18.94,1,118.94,5,0,20
16,4,0,0,11.45,0,11.45,6,0,20
17,4,0,1,8.88,1,108.88,7,0,20
18,6,0,0,20.33,0,20.33,8,0,20
19,6,0,1,19.55,0,19.55,9,0,20
20,1,0,4,19.06,3,319.06,10,0,20
21,4,0,2,10.39,1,110.39,11,0,20
22,6,0,2,12.81,0,12.81,12,0,20
23,3,0,2,11.72,3,311.72,13,0,20
24,6,0,3,13.24,0,13.24,14,0,20
25,6,0,4,16.11,0,16.11,15,0,20
