idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,2,0,0,23.41,0,0,20,1,123.41
2,2,0,1,15.1,0,0,20,1,115.1
3,5,0,3,11.81,0,1,20,2,211.81
4,2,0,2,17.33,0,0,20,3,317.33
5,4,0,1,17.83,0,1,20,0,17.83
6,4,0,0,12.04,0,0,20,0,12.04
7,5,0,0,6.72,0,0,20,2,206.72
8,5,0,1,5.65,0,0,20,2,205.65
9,5,0,2,11.99,0,0,20,1,111.99
10,5,0,4,6.96,0,1,20,3,306.96
11,4,0,2,15.95,1,0,20,1,115.95
12,4,0,3,14.39,2,0,20,2,214.39
13,4,0,4,12.42,3,0,20,3,312.42
14,1,0,0,6.86,4,0,20,3,306.86
15,3,0,0,19.01,5,0,20,0,19.01
16,3,0,1,16.56,6,0,20,1,116.56
17,1,0,1,11.54,7,0,20,3,311.54
18,6,0,0,22.16,8,0,20,0,22.16
19,2,0,3,20.62,9,0,20,3,320.62
20,6,0,1,12.66,10,0,20,0,12.66
21,3,0,2,17.09,11,0,20,2,217.09
22,1,0,2,14.83,12,0,20,3,314.83
23,6,0,2,23.3,13,0,20,1,123.3
24,3,0,3,11.0,14,0,20,3,311.0
25,6,0,3,6.75,15,0,20,3,306.75
