idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,0,22.95,2,222.95,0,0,20
2,6,0,0,17.6,3,317.6,0,0,20
3,6,0,1,6.84,3,306.84,0,0,20
4,6,0,2,20.94,3,320.94,0,1,20
5,4,0,3,16.43,2,216.43,0,1,20
6,3,0,0,20.31,0,20.31,0,0,20
7,4,0,1,20.4,1,120.4,0,0,20
8,6,0,3,22.15,3,322.15,0,1,20
9,3,0,1,22.03,0,22.03,0,2,20
10,4,0,2,7.19,2,207.19,0,1,20
11,1,0,0,9.21,0,9.21,1,0,20
12,1,0,1,21.77,0,21.77,2,0,20
13,3,0,2,23.02,3,323.02,3,0,20
14,4,0,4,8.11,3,308.11,4,0,20
15,2,0,0,5.42,1,105.42,5,0,20
16,2,0,1,8.73,2,208.73,6,0,20
17,5,0,0,19.15,0,19.15,7,0,20
18,5,0,1,14.54,0,14.54,8,0,20
19,2,0,2,9.66,2,209.66,9,0,20
20,1,0,2,23.15,0,23.15,10,0,20
21,2,0,3,20.37,3,320.37,11,0,20
22,1,0,3,21.04,2,221.04,12,0,20
23,5,0,2,14.27,0,14.27,13,0,20
24,1,0,4,10.84,3,310.84,14,0,20
25,5,0,3,7.41,3,307.41,15,0,20
