idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,0,6.3,2,206.3,0,0,20
2,5,0,0,12.01,2,212.01,0,0,20
3,1,0,1,7.32,1,107.32,0,0,20
4,2,0,0,18.74,0,18.74,0,0,20
5,2,0,2,22.24,1,122.24,0,1,20
6,2,0,3,18.43,2,218.43,0,1,20
7,2,0,1,6.63,1,106.63,0,1,20
8,2,0,4,21.84,2,221.84,0,1,20
9,1,0,3,23.42,3,323.42,0,1,20
10,1,0,2,17.56,3,317.56,0,0,20
11,3,0,0,5.75,0,5.75,1,0,20
12,3,0,1,16.21,0,16.21,2,0,20
13,3,0,2,15.75,1,115.75,3,0,20
14,5,0,1,15.23,3,315.23,4,0,20
15,4,0,0,7.81,0,7.81,5,0,20
16,3,0,3,5.55,3,305.55,6,0,20
17,4,0,1,16.6,2,216.6,7,0,20
18,6,0,0,17.69,0,17.69,8,0,20
19,6,0,1,18.45,1,118.45,9,0,20
20,6,0,2,14.23,0,14.23,10,0,20
21,6,0,3,11.29,1,111.28999999999999,11,0,20
22,4,0,2,6.44,1,106.44,12,0,20
23,4,0,3,14.88,2,214.88,13,0,20
24,4,0,4,5.05,2,205.05,14,0,20
25,3,0,4,16.63,1,116.63,15,0,20
