idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,5,0,0,9.22,0,0,0,20
2,5,0,1,15.92,0,0,1,20
3,4,0,0,16.25,0,0,0,20
4,4,0,1,17.51,0,0,0,20
5,5,0,2,16.01,0,0,1,20
6,4,0,2,23.7,1,0,0,20
7,5,0,3,22.12,2,0,0,20
8,1,0,0,9.41,3,0,0,20
9,1,0,1,6.43,4,0,0,20
10,2,0,0,13.26,5,0,0,20
11,2,0,1,14.45,6,0,0,20
12,2,0,2,15.28,7,0,0,20
13,6,0,0,17.43,8,0,0,20
14,1,0,2,12.5,9,0,0,20
15,2,0,3,15.58,10,0,0,20
16,6,0,1,19.96,11,0,0,20
17,2,0,4,16.79,12,0,0,20
18,3,0,0,5.57,13,0,0,20
19,1,0,3,17.25,14,0,0,20
20,3,0,1,6.55,15,0,0,20
21,3,0,2,16.97,16,0,0,20
22,3,0,3,12.06,17,0,0,20
23,3,0,4,7.92,18,0,0,20
