idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,2,0,0,14.34,0,14.34,0,0,20
2,3,0,0,12.64,2,212.64,0,0,20
3,6,0,0,8.69,2,208.69,0,0,20
4,3,0,1,13.39,2,213.39,0,0,20
5,6,0,1,5.17,2,205.17,0,0,20
6,6,0,3,11.84,2,211.84,0,1,20
7,5,0,0,19.44,0,19.44,0,0,20
8,5,0,1,6.13,1,106.13,0,2,20
9,6,0,2,9.85,2,209.85,0,0,20
10,2,0,3,8.54,2,208.54,0,1,20
11,1,0,0,5.0,0,5.0,0,0,20
12,2,0,1,11.59,0,11.59,0,0,20
13,6,0,4,12.56,2,212.56,0,1,20
14,2,0,2,9.56,1,109.56,0,1,20
15,3,0,2,9.53,3,309.53,0,1,20
16,1,0,1,22.31,0,22.31,1,0,20
17,4,0,0,15.25,0,15.25,2,0,20
18,5,0,2,17.42,1,117.42,3,0,20
19,4,0,1,6.09,0,6.09,4,0,20
20,3,0,3,19.87,3,319.87,5,0,20
21,5,0,3,20.85,1,120.85,6,0,20
22,4,0,2,6.57,0,6.57,7,0,20
23,1,0,2,12.68,1,112.68,8,0,20
24,1,0,3,18.95,1,118.95,9,0,20
25,4,0,3,5.45,0,5.45,10,0,20
26,2,0,4,19.18,3,319.18,11,0,20
27,4,0,4,17.55,0,17.55,12,0,20
