idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,4,0,0,7.82,0,0,0,20
2,2,0,0,16.55,0,0,0,20
3,6,0,1,12.6,0,0,1,20
4,6,0,0,12.03,0,0,0,20
5,2,0,4,7.79,0,0,1,20
6,2,0,1,6.46,0,0,0,20
7,2,0,2,9.88,0,0,0,20
8,2,0,3,6.43,0,0,0,20
9,1,0,0,12.9,0,0,0,20
10,4,0,4,14.7,0,0,1,20
11,4,0,3,13.33,0,0,1,20
12,4,0,1,10.52,0,0,0,20
13,1,0,1,20.41,0,0,1,20
14,1,0,2,22.17,0,0,1,20
15,4,0,2,12.86,0,0,1,20
16,3,0,0,19.1,1,0,0,20
17,5,0,0,11.9,2,0,0,20
18,6,0,2,17.67,3,0,0,20
19,5,0,1,17.57,4,0,0,20
20,3,0,1,21.52,5,0,0,20
21,5,0,2,11.38,6,0,0,20
22,6,0,3,20.82,7,0,0,20
23,1,0,3,22.78,8,0,0,20
24,5,0,3,19.19,9,0,0,20
25,3,0,2,22.58,10,0,0,20
26,5,0,4,20.8,11,0,0,20
27,6,0,4,20.45,12,0,0,20
