idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,2,0,1,9.91,0,0,1,20
2,2,0,3,16.63,0,0,1,20
3,2,0,2,16.15,0,0,1,20
4,2,0,4,23.2,0,0,1,20
5,2,0,0,9.5,0,0,0,20
6,5,0,0,18.91,1,0,0,20
7,1,0,0,15.83,2,0,0,20
8,4,0,0,12.41,3,0,0,20
9,5,0,1,20.84,4,0,0,20
10,3,0,0,11.16,5,0,0,20
11,1,0,1,10.66,6,0,0,20
12,1,0,2,10.69,7,0,0,20
13,6,0,0,23.11,8,0,0,20
14,1,0,3,11.35,9,0,0,20
15,1,0,4,14.24,10,0,0,20
16,3,0,1,9.33,11,0,0,20
17,4,0,1,20.61,12,0,0,20
18,3,0,2,10.69,13,0,0,20
19,3,0,3,19.3,14,0,0,20
20,3,0,4,18.13,15,0,0,20
