idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,3,0,0,8.9,0,0,20,0,8.9
2,3,0,1,14.9,0,0,20,0,14.9
3,3,0,3,21.58,0,1,20,0,21.58
4,2,0,0,8.52,0,1,20,0,8.52
5,3,0,2,15.14,0,1,20,0,15.14
6,2,0,1,19.76,1,0,20,0,19.76
7,2,0,2,20.18,2,0,20,0,20.18
8,3,0,4,23.64,3,0,20,0,23.64
9,1,0,0,5.92,4,0,20,0,5.92
10,1,0,1,10.16,5,0,20,0,10.16
11,4,0,0,6.42,6,0,20,0,6.42
12,5,0,0,5.1,7,0,20,0,5.1
13,4,0,1,8.8,8,0,20,0,8.8
14,5,0,1,5.67,9,0,20,0,5.67
15,4,0,2,9.32,10,0,20,0,9.32
16,1,0,2,14.11,11,0,20,0,14.11
17,5,0,2,6.93,12,0,20,0,6.93
18,1,0,3,16.22,13,0,20,0,16.22
19,1,0,4,18.89,14,0,20,0,18.89
20,4,0,3,14.36,15,0,20,0,14.36
