idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,1,0,0,22.14,0,0,0,20
2,1,0,2,16.21,0,0,1,20
3,1,0,3,22.85,0,0,1,20
4,1,0,1,11.64,0,0,0,20
5,1,0,4,23.65,0,0,1,20
6,2,0,0,7.48,1,0,0,20
7,2,0,1,12.04,2,0,0,20
8,3,0,0,5.5,3,0,0,20
9,2,0,2,9.8,4,0,0,20
10,3,0,1,9.14,5,0,0,20
11,2,0,3,22.23,6,0,0,20
12,6,0,0,16.99,7,0,0,20
13,4,0,0,9.64,8,0,0,20
14,5,0,0,10.59,9,0,0,20
15,2,0,4,22.77,10,0,0,20
16,3,0,2,8.73,11,0,0,20
17,5,0,1,15.47,12,0,0,20
18,6,0,1,17.72,13,0,0,20
19,3,0,3,12.24,14,0,0,20
20,4,0,1,8.14,15,0,0,20
21,3,0,4,17.55,16,0,0,20
22,4,0,2,10.96,17,0,0,20
23,4,0,3,7.04,18,0,0,20
24,5,0,2,18.46,19,0,0,20
25,4,0,4,8.07,20,0,0,20
