idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,6,0,1,19.61,0,1,20,1,119.61
2,6,0,2,12.43,0,1,20,2,212.43
3,6,0,0,15.87,0,0,20,1,115.87
4,1,0,0,22.54,1,0,20,2,222.54
5,2,0,0,11.08,2,0,20,1,111.08
6,3,0,0,8.15,3,0,20,1,108.15
7,2,0,1,18.65,4,0,20,2,218.65
8,2,0,2,19.24,5,0,20,2,219.24
9,4,0,0,6.15,6,0,20,1,106.15
10,3,0,1,21.3,7,0,20,2,221.3
11,1,0,1,20.8,8,0,20,3,320.8
12,4,0,1,13.02,9,0,20,2,213.02
13,5,0,0,11.16,10,0,20,0,11.16
14,5,0,1,5.21,11,0,20,0,5.21
15,5,0,2,8.15,12,0,20,0,8.15
16,5,0,3,11.11,13,0,20,1,111.11
17,1,0,2,23.0,14,0,20,3,323.0
18,3,0,2,10.54,15,0,20,3,310.54
19,5,0,4,13.96,16,0,20,1,113.96000000000001
20,2,0,3,6.08,17,0,20,3,306.08
