idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,2,0,1,6.54,0,0,1,20
2,2,0,2,14.04,0,0,1,20
3,3,0,0,14.47,0,0,0,20
4,3,0,1,10.75,0,0,0,20
5,2,0,4,22.75,0,0,1,20
6,2,0,0,5.11,0,0,0,20
7,2,0,3,21.27,0,0,1,20
8,6,0,0,21.7,1,0,0,20
9,5,0,0,12.91,2,0,0,20
10,1,0,0,5.21,3,0,0,20
11,3,0,2,11.08,4,0,0,20
12,5,0,1,21.07,5,0,0,20
13,1,0,1,6.64,6,0,0,20
14,1,0,2,10.09,7,0,0,20
15,5,0,2,21.12,8,0,0,20
16,3,0,3,18.67,9,0,0,20
17,6,0,1,22.38,10,0,0,20
18,1,0,3,6.09,11,0,0,20
19,1,0,4,6.98,12,0,0,20
20,4,0,0,7.88,13,0,0,20
