idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,1,0,0,21.29,0,0,0,20
2,6,0,3,21.17,0,0,1,20
3,6,0,2,14.82,0,0,1,20
4,6,0,0,13.75,0,0,0,20
5,6,0,1,13.9,0,0,1,20
6,1,0,1,20.98,0,0,0,20
7,6,0,4,22.06,0,0,2,20
8,2,0,0,16.55,1,0,0,20
9,4,0,0,15.5,2,0,0,20
10,2,0,1,16.78,3,0,0,20
11,3,0,0,9.06,4,0,0,20
12,2,0,2,11.14,5,0,0,20
13,4,0,1,19.1,6,0,0,20
14,3,0,1,14.31,7,0,0,20
15,4,0,2,23.64,8,0,0,20
16,1,0,2,23.26,9,0,0,20
17,5,0,0,18.82,10,0,0,20
18,2,0,3,7.95,11,0,0,20
19,2,0,4,8.2,12,0,0,20
20,5,0,1,21.29,13,0,0,20
