idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,1,0,1,19.66,0,0,1,20
2,2,0,4,23.67,0,0,1,20
3,1,0,0,13.0,0,0,0,20
4,2,0,0,16.94,0,0,0,20
5,2,0,2,17.1,0,0,1,20
6,2,0,1,16.98,0,0,0,20
7,2,0,3,22.9,0,0,1,20
8,6,0,0,22.63,1,0,0,20
9,1,0,2,21.84,2,0,0,20
10,3,0,0,5.73,3,0,0,20
11,3,0,1,10.19,4,0,0,20
12,5,0,0,15.45,5,0,0,20
13,4,0,0,9.64,6,0,0,20
14,3,0,2,8.65,7,0,0,20
15,3,0,3,5.88,8,0,0,20
16,5,0,1,20.85,9,0,0,20
17,4,0,1,17.91,10,0,0,20
18,5,0,2,22.75,11,0,0,20
19,3,0,4,15.8,12,0,0,20
20,1,0,3,22.06,13,0,0,20
