idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,1,0,0,12.8,1,0,20,1,112.8
2,1,0,1,18.33,2,0,20,3,318.33
3,2,0,0,20.59,3,0,20,1,120.59
4,2,0,1,23.38,4,0,20,1,123.38
5,2,0,2,14.0,5,0,20,3,314.0
6,3,0,0,15.27,6,0,20,0,15.27
7,3,0,1,20.49,7,0,20,0,20.49
8,3,0,2,9.36,8,0,20,3,309.36
9,3,0,3,10.29,9,0,20,3,310.29
10,4,0,0,12.3,10,0,20,1,112.3
11,4,0,1,18.17,11,0,20,1,118.17
12,5,0,0,16.33,12,0,20,1,116.33
13,4,0,2,18.24,13,0,20,1,118.24
14,6,0,0,6.09,14,0,20,0,6.09
15,1,0,2,22.59,15,0,20,3,322.59
16,4,0,3,20.96,16,0,20,2,220.96
17,6,0,1,9.14,17,0,20,0,9.14
18,6,0,2,5.42,18,0,20,1,105.42
19,2,0,3,20.81,19,0,20,3,320.81
20,5,0,1,15.35,20,0,20,1,115.35
