idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,1,0,0,15.43,1,0,20,1,115.43
2,1,0,1,19.1,2,0,20,1,119.1
3,2,0,0,7.07,3,0,20,0,7.07
4,1,0,2,20.29,4,0,20,3,320.29
5,2,0,1,21.02,5,0,20,0,21.02
6,2,0,2,10.17,6,0,20,1,110.17
7,2,0,3,9.08,7,0,20,3,309.08
8,3,0,0,22.99,8,0,20,2,222.99
9,3,0,1,8.47,9,0,20,3,308.47
10,4,0,0,14.78,10,0,20,1,114.78
11,1,0,3,23.51,11,0,20,3,323.51
12,5,0,0,12.76,12,0,20,0,12.76
13,4,0,1,14.77,13,0,20,2,214.77
14,5,0,1,18.02,14,0,20,1,118.02
15,6,0,0,6.43,15,0,20,0,6.43
16,6,0,1,6.9,16,0,20,1,106.9
17,6,0,2,12.34,17,0,20,0,12.34
18,6,0,3,17.61,18,0,20,0,17.61
19,5,0,2,8.16,19,0,20,0,8.16
20,5,0,3,16.48,20,0,20,0,16.48
21,4,0,2,20.76,21,0,20,2,220.76
22,6,0,4,16.6,22,0,20,2,216.6
23,2,0,4,14.05,23,0,20,3,314.05
24,3,0,2,10.49,24,0,20,3,310.49
25,5,0,4,5.31,25,0,20,1,105.31
26,4,0,3,17.84,26,0,20,0,17.84
27,4,0,4,15.32,27,0,20,2,215.32
