idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,1,0,4,20.82,0,1,20,3,320.82
2,1,0,2,19.89,0,1,20,1,119.89
3,1,0,3,23.05,0,1,20,2,223.05
4,1,0,0,7.56,0,1,20,0,7.56
5,1,0,1,12.41,0,1,20,1,112.41
6,2,0,0,8.26,1,0,20,2,208.26
7,2,0,1,22.23,2,0,20,2,222.23
8,2,0,2,22.56,3,0,20,2,222.56
9,3,0,0,8.28,4,0,20,1,108.28
10,2,0,3,14.88,5,0,20,3,314.88
11,2,0,4,15.46,6,0,20,3,315.46
12,4,0,0,7.82,7,0,20,1,107.82
13,3,0,1,16.56,8,0,20,2,216.56
14,5,0,0,7.42,9,0,20,1,107.42
15,4,0,1,19.05,10,0,20,1,119.05
